total_spend,num_ads,avg_spend_per_ad,ad_count,spender_size,Advertiser,CLASS,Code,2020 assignment / context,Advertiser_Name
1492000.0,172,8674.0,172,Very Large (>$1M),Progressive Turnout Project,Democratic,DEM_ALIGNED_PAC,Democratic/progressive voter-turnout organization,Progressive Turnout Project
1479500.0,202,7324.0,202,Very Large (>$1M),BOLLIER FOR KANSAS,Democratic,DEM_DOWNBALLOT,"Barbara Bollier Democratic Senate campaign, Kansas",BOLLIER FOR KANSAS
1388900.0,1688,823.0,1688,Very Large (>$1M),ALLIANCE FOR A BETTER MINNESOTA ACTION FUND,Democratic,DEM_ALIGNED_PAC,Minnesota progressive/Democratic-aligned advocacy group,ALLIANCE FOR A BETTER MINNESOTA ACTION FUND
1376900.0,13677,101.0,13677,Very Large (>$1M),Money Metals Exchange LLC,Commercial/Media,COMMERCIAL_MEDIA_UNCLEAR,Precious-metals business; not clearly a candidate/party advertiser,Money Metals Exchange LLC
1360600.0,515,2642.0,515,Very Large (>$1M),Joni for Iowa,Republican,REP_DOWNBALLOT,"Joni Ernst Republican Senate campaign, Iowa",Joni for Iowa
1317400.0,542,2431.0,542,Very Large (>$1M),PRIORITIES USA,Democratic,DEM_ALIGNED_PAC,Democratic/pro-Biden super PAC family,PRIORITIES USA
1302900.0,105,12409.0,105,Very Large (>$1M),PRIORITIES USA & MAJORITY FORWARD,Democratic,DEM_ALIGNED_PAC,Democratic-aligned joint spending: Priorities USA plus Majority Forward/Senate Democratic network,PRIORITIES USA & MAJORITY FORWARD
1247600.0,840,1485.0,840,Very Large (>$1M),EPOCH USA INC.,Commercial/Media,COMMERCIAL_MEDIA_UNCLEAR,"Epoch/Epoch Times-related media advertiser; conservative/pro-Trump media ecosystem, but not an official campaign",EPOCH USA INC.
1226200.0,166,7387.0,166,Very Large (>$1M),LEAGUE OF CONSERVATION VOTERS VICTORY FUND & PRIORITIES USA ACTION,Democratic,DEM_ALIGNED_PAC,Environmental Democratic-aligned super PAC activity with Priorities USA,LEAGUE OF CONSERVATION VOTERS VICTORY FUND & PRIORITIES USA ACTION
1225600.0,143,8571.0,143,Very Large (>$1M),CITIZENS FOR FREE ENTERPRISE,Republican,REP_ALIGNED_PAC,Free-market/business conservative PAC; spent in support of Republicans and against Democrats,CITIZENS FOR FREE ENTERPRISE
1220200.0,12151,100.0,12151,Very Large (>$1M),JEXAN LLC,Commercial/Media,COMMERCIAL_MEDIA_UNCLEAR,Commercial/unclear digital advertiser; not clearly a campaign or party committee from name alone,JEXAN LLC
1218300.0,271,4496.0,271,Very Large (>$1M),NEXTGEN CLIMATE ACTION COMMITTEE,Democratic,DEM_ALIGNED_PAC,Tom Steyer-founded climate/progressive PAC; Democratic-aligned,NEXTGEN CLIMATE ACTION COMMITTEE
1212400.0,220,5511.0,220,Very Large (>$1M),DEFENDING DEMOCRACY TOGETHER,Anti-Trump,DEM_ALIGNED_PAC,Anti-Trump Republican/conservative group; associated with Republican Voters Against Trump,DEFENDING DEMOCRACY TOGETHER
1117000.0,209,5344.0,209,Very Large (>$1M),Collins for Senator,Republican,REP_DOWNBALLOT,"Susan Collins Republican Senate campaign, Maine",Collins for Senator
1092100.0,798,1369.0,798,Very Large (>$1M),THOM TILLIS COMMITTEE,Republican,REP_DOWNBALLOT,"Thom Tillis Republican Senate campaign, North Carolina",THOM TILLIS COMMITTEE
1017200.0,1656,614.0,1656,Very Large (>$1M),CONSERVATIVE BUZZ LLC,Republican,COMMERCIAL_MEDIA_UNCLEAR,"Conservative media/advertising entity; not an official campaign, but GOP-aligned content context",CONSERVATIVE BUZZ LLC
991700.0,33,30052.0,33,Large ($100k-$1M),COOPER FOR NORTH CAROLINA,Democratic,DEM_DOWNBALLOT,"Roy Cooper Democratic gubernatorial campaign, North Carolina",COOPER FOR NORTH CAROLINA
921100.0,88,10467.0,88,Large ($100k-$1M),WOMEN VOTE!,Democratic,DEM_ALIGNED_PAC,EMILY’s List super PAC; supports Democratic/pro-choice women candidates,WOMEN VOTE!
874800.0,111,7881.0,111,Large ($100k-$1M),RED SENATE,Republican,REP_ALIGNED_PAC,Republican Senate-aligned advertiser/PAC-style name,RED SENATE
856500.0,161,5320.0,161,Large ($100k-$1M),DEMOCRATIC PARTY OF WISCONSIN,Democratic,DEM_PRES_BIDEN,Wisconsin Democratic Party; Biden/Democratic-aligned in 2020,DEMOCRATIC PARTY OF WISCONSIN
850300.0,205,4148.0,205,Large ($100k-$1M),JOE EDWARD COLLINS III,Republican,REP_DOWNBALLOT,Joe Collins Republican congressional candidate in California,JOE EDWARD COLLINS III
834700.0,820,1018.0,820,Large ($100k-$1M),MARKETFUEL SUBSCRIPTION SERVICES,Commercial/Media,COMMERCIAL_MEDIA_UNCLEAR,Commercial/lead-generation or subscription advertiser; not clearly candidate/party,MARKETFUEL SUBSCRIPTION SERVICES
816100.0,270,3023.0,270,Large ($100k-$1M),"WARREN FOR PRESIDENT, INC.",Democratic,DEM_PRIMARY,Elizabeth Warren Democratic presidential primary campaign,"WARREN FOR PRESIDENT, INC."
805700.0,244,3302.0,244,Large ($100k-$1M),CATHOLICVOTE.ORG,Republican,REP_ALIGNED_PAC,Conservative Catholic advocacy group; Republican/pro-Trump-aligned in 2020 context,CATHOLICVOTE.ORG
796500.0,4395,181.0,4395,Large ($100k-$1M),PROGRESSNOW,Democratic,DEM_ALIGNED_PAC,Progressive advocacy network; Democratic-aligned,PROGRESSNOW
758100.0,83,9134.0,83,Large ($100k-$1M),NEWSMAX MEDIA INC,Commercial/Media,COMMERCIAL_MEDIA_UNCLEAR,"Conservative media company; pro-Trump/right-wing media context, not official campaign",NEWSMAX MEDIA INC
705400.0,103,6849.0,103,Large ($100k-$1M),Iowa Democratic Party,Democratic,DEM_PRES_BIDEN,Iowa Democratic Party; Biden/Democratic-aligned in 2020,Iowa Democratic Party
690800.0,40,17270.0,40,Large ($100k-$1M),COALITION TO STOP THE PROPOSED TAX HIKE AMENDMENT,Republican,REP_ALIGNED_ISSUE,Illinois anti-tax ballot-measure campaign; business/conservative side of issue,COALITION TO STOP THE PROPOSED TAX HIKE AMENDMENT
673200.0,30,22440.0,30,Large ($100k-$1M),Majority Forward,Democratic,DEM_ALIGNED_PAC,Democratic Senate-aligned nonprofit linked to Senate Majority PAC network,Majority Forward
654100.0,27,24226.0,27,Large ($100k-$1M),FRIENDS OF MARK WARNER,Democratic,DEM_DOWNBALLOT,"Mark Warner Democratic Senate campaign, Virginia",FRIENDS OF MARK WARNER
639100.0,58,11019.0,58,Large ($100k-$1M),KEEP KENTUCKY GREAT,Republican,REP_DOWNBALLOT,Pro-Mitch McConnell / Republican Kentucky Senate-aligned committee,KEEP KENTUCKY GREAT
634200.0,40,15855.0,40,Large ($100k-$1M),MJ FOR TEXAS,Democratic,DEM_DOWNBALLOT,"MJ Hegar Democratic Senate campaign, Texas",MJ FOR TEXAS
633200.0,25,25328.0,25,Large ($100k-$1M),MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,Democratic,DEM_DOWNBALLOT,"Mike Espy Democratic Senate campaign, Mississippi",MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE
625600.0,1124,557.0,1124,Large ($100k-$1M),BEACHSIDE MEDIA INC,Commercial/Media,COMMERCIAL_MEDIA_UNCLEAR,Commercial/media advertiser; not clearly candidate/party from name alone,BEACHSIDE MEDIA INC
624500.0,51,12245.0,51,Large ($100k-$1M),Prager University Foundation,Republican,COMMERCIAL_MEDIA_UNCLEAR,Conservative media/advocacy organization; Republican-aligned content context,Prager University Foundation
620600.0,139,4465.0,139,Large ($100k-$1M),"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES",Republican,REP_ALIGNED_ISSUE,California Prop 15 opposition campaign; anti-tax/business side,"NO ON PROP 15 - STOP HIGHER PROPERTY TAXES AND SAVE PROP 13 - A COALITION OF CALIFORNIA HOMEOWNERS, TAXPAYERS, AND BUSINESSES"
610700.0,625,977.0,625,Large ($100k-$1M),ALLIANCE FOR A BETTER MINNESOTA FEDERAL PAC,Democratic,DEM_ALIGNED_PAC,Minnesota progressive/Democratic-aligned PAC,ALLIANCE FOR A BETTER MINNESOTA FEDERAL PAC
595200.0,56,10629.0,56,Large ($100k-$1M),"YES ON 14: CALIFORNIANS FOR STEM CELL RESEARCH, TREATMENTS AND CURES",Unsure/Issue,BALLOT_ISSUE,California Prop 14 ballot-measure support campaign; not presidential/party,"YES ON 14: CALIFORNIANS FOR STEM CELL RESEARCH, TREATMENTS AND CURES"
592300.0,67,8840.0,67,Large ($100k-$1M),"A HEALTHY FUTURE, LLC",Anti-Trump,DEM_ALIGNED_PAC,Dark-money health-care advertiser that ran anti-Trump ads in 2020,"A HEALTHY FUTURE, LLC"
587900.0,85,6916.0,85,Large ($100k-$1M),DOUG JONES FOR SENATE COMMITTEE,Democratic,DEM_DOWNBALLOT,"Doug Jones Democratic Senate campaign, Alabama",DOUG JONES FOR SENATE COMMITTEE
568500.0,125,4548.0,125,Large ($100k-$1M),SHAHEEN FOR SENATE,Democratic,DEM_DOWNBALLOT,"Jeanne Shaheen Democratic Senate campaign, New Hampshire",SHAHEEN FOR SENATE
558100.0,36,15503.0,36,Large ($100k-$1M),PRIORITIES USA ACTION AND SMP,Democratic,DEM_ALIGNED_PAC,Joint Democratic super PAC activity: Priorities USA + Senate Majority PAC,PRIORITIES USA ACTION AND SMP
555900.0,39,14254.0,39,Large ($100k-$1M),NO ON PROP 20 - CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,Democratic,DEM_ALIGNED_PAC,"California Prop 20 opposition campaign; progressive/criminal-justice-reform side, but still a ballot issue",NO ON PROP 20 - CALIFORNIANS AGAINST THE PRISON SPENDING SCAM
551600.0,1662,332.0,1662,Large ($100k-$1M),SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),Democratic,DEM_ALIGNED_PAC,Service Employees International Union political arm; labor/Democratic-aligned,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)
549600.0,1165,472.0,1165,Large ($100k-$1M),Friends of Spencer Cox,Republican,REP_DOWNBALLOT,"Spencer Cox Republican gubernatorial campaign, Utah",Friends of Spencer Cox
542900.0,49,11080.0,49,Large ($100k-$1M),PRIORITIES USA ACTION & COLOROFCHANGE PAC,Democratic,DEM_ALIGNED_PAC,Democratic/progressive joint activity: Priorities USA + Color Of Change PAC,PRIORITIES USA ACTION & COLOROFCHANGE PAC
540700.0,192,2816.0,192,Large ($100k-$1M),"JOHN JAMES FOR SENATE, INC.",Republican,REP_DOWNBALLOT,"John James Republican Senate campaign, Michigan","JOHN JAMES FOR SENATE, INC."
540000.0,5,108000.0,5,Large ($100k-$1M),"MIKE BLOOMBERG 2020, INC.",Democratic,DEM_PRIMARY,Michael Bloomberg Democratic presidential primary campaign,"MIKE BLOOMBERG 2020, INC."
526700.0,161,3271.0,161,Large ($100k-$1M),JUST THE TRUTH POLITICAL ACTION COMMITTEE,Unsure/Issue,UNKNOWN_NEEDS_CONTEXT,Super PAC; political alignment unclear from name alone without ad-level context,JUST THE TRUTH POLITICAL ACTION COMMITTEE
519100.0,116,4475.0,116,Large ($100k-$1M),BEYOND CARBON VICTORY FUND,Democratic,DEM_ALIGNED_PAC,Bloomberg-backed climate PAC supporting clean-energy/Democratic-aligned candidates,BEYOND CARBON VICTORY FUND
515700.0,33,15627.0,33,Large ($100k-$1M),"ALL VOTERS VOTE, INC.",Unsure/Issue,BALLOT_ISSUE,Election-reform/top-two primary ballot-measure group; not clearly partisan,"ALL VOTERS VOTE, INC."
498200.0,753,662.0,753,Large ($100k-$1M),CLUB FOR GROWTH ACTION,Republican,REP_ALIGNED_PAC,Conservative free-market super PAC; Republican-aligned,CLUB FOR GROWTH ACTION
487300.0,71,6863.0,71,Large ($100k-$1M),DR. AL GROSS FOR U.S. SENATE,Democratic,DEM_DOWNBALLOT,"Al Gross independent candidate for Alaska Senate, Democratic-aligned/endorsed by Democrats",DR. AL GROSS FOR U.S. SENATE
480600.0,21,22886.0,21,Large ($100k-$1M),PERSIST PAC,Democratic,DEM_PRIMARY,Pro-Elizabeth Warren super PAC / Democratic primary context,PERSIST PAC
479300.0,19,25226.0,19,Large ($100k-$1M),A STRONGER MISSOURI,Republican,REP_ALIGNED_PAC,Missouri conservative/pro-Republican issue group,A STRONGER MISSOURI
479200.0,166,2887.0,166,Large ($100k-$1M),DEFENDARIZONA,Democratic,DEM_ALIGNED_PAC,Arizona Democratic-aligned anti-McSally/pro-Mark Kelly advertiser,DEFENDARIZONA
478700.0,113,4236.0,113,Large ($100k-$1M),Unite The Country,Democratic,DEM_PRES_BIDEN,Pro-Biden Democratic super PAC,Unite The Country
476200.0,131,3635.0,131,Large ($100k-$1M),AMY FOR AMERICA,Democratic,DEM_PRIMARY,Amy Klobuchar Democratic presidential primary campaign,AMY FOR AMERICA
463500.0,14,33107.0,14,Large ($100k-$1M),YES FOR A HEALTHY FUTURE,Unsure/Issue,BALLOT_ISSUE,"Health-care issue campaign; likely progressive/Democratic health-care messaging, but not safely candidate-coded",YES FOR A HEALTHY FUTURE
463400.0,21,22067.0,21,Large ($100k-$1M),COLOROFCHANGE PAC,Democratic,DEM_ALIGNED_PAC,Progressive racial-justice PAC; Democratic-aligned,COLOROFCHANGE PAC
462700.0,244,1896.0,244,Large ($100k-$1M),NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,Democratic,DEM_ALIGNED_PAC,Democratic candidate/training PAC,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC
462600.0,36,12850.0,36,Large ($100k-$1M),"PIEDMONT RISING, INC.",Democratic,DEM_ALIGNED_PAC,North Carolina progressive/Democratic-aligned advocacy group,"PIEDMONT RISING, INC."
455000.0,20,22750.0,20,Large ($100k-$1M),FF PAC,Democratic,DEM_ALIGNED_PAC,Future Forward PAC; Democratic-aligned/pro-Biden super PAC,FF PAC
454600.0,103,4414.0,103,Large ($100k-$1M),SAHAK NALBANDYAN,Unsure/Issue,UNKNOWN_NEEDS_CONTEXT,Individual advertiser; not enough reliable context from name alone,SAHAK NALBANDYAN
453400.0,32,14169.0,32,Large ($100k-$1M),Democratic Governors Association,Democratic,DEM_DOWNBALLOT,Democratic governors’ organization,Democratic Governors Association
451700.0,92,4910.0,92,Large ($100k-$1M),"CALIFORNIANS FOR EQUAL RIGHTS, NO ON 16",Unsure/Issue,BALLOT_ISSUE,"California Prop 16 opposition campaign; anti-affirmative-action ballot issue, not a candidate committee","CALIFORNIANS FOR EQUAL RIGHTS, NO ON 16"
450700.0,115,3919.0,115,Large ($100k-$1M),2020 DEMOCRATIC NATIONAL CONVENTION COMMITTEE,Democratic,DEM_PRES_BIDEN,Democratic convention committee; Biden nomination context,2020 DEMOCRATIC NATIONAL CONVENTION COMMITTEE
446000.0,83,5373.0,83,Large ($100k-$1M),ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,Democratic,DEM_DOWNBALLOT,"Alexandria Ocasio-Cortez Democratic House campaign, New York",ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS
441100.0,44,10025.0,44,Large ($100k-$1M),AFSCME SPECIAL ACCOUNT,Democratic,DEM_ALIGNED_PAC,Public-sector labor union political account; Democratic/progressive-aligned,AFSCME SPECIAL ACCOUNT
436800.0,19,22989.0,19,Large ($100k-$1M),"YES ON 16, OPPORTUNITY FOR ALL COALITION, SPONSORED BY CIVIL RIGHTS ORGANIZATIONS",Democratic,DEM_ALIGNED_PAC,"California Prop 16 support campaign; affirmative-action ballot-measure side, generally progressive/Dem-aligned but primarily an issue campaign","YES ON 16, OPPORTUNITY FOR ALL COALITION, SPONSORED BY CIVIL RIGHTS ORGANIZATIONS"
436100.0,53,8228.0,53,Large ($100k-$1M),LCV VICTORY FUND,Democratic,DEM_ALIGNED_PAC,League of Conservation Voters Victory Fund; environmental PAC aligned with Democrats,LCV VICTORY FUND
428700.0,10,42870.0,10,Large ($100k-$1M),CHANGE NOW,Democratic,DEM_ALIGNED_PAC,Democratic/left-of-center PAC; targeted Republicans and spent against Trump in 2020,CHANGE NOW
422800.0,115,3677.0,115,Large ($100k-$1M),RESTORATION PAC,Republican,REP_ALIGNED_PAC,Conservative/Republican super PAC,RESTORATION PAC
409400.0,119,3440.0,119,Large ($100k-$1M),MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,Democratic,DEM_PRES_BIDEN,Michigan Democratic Party; Biden/Democratic-aligned in 2020,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE
395800.0,94,4211.0,94,Large ($100k-$1M),MAGICSTAR ARROW INC,Commercial/Media,COMMERCIAL_MEDIA_UNCLEAR,Commercial or unclear advertiser; not safely candidate/party-coded from name alone,MAGICSTAR ARROW INC
395600.0,70,5651.0,70,Large ($100k-$1M),Moveon.org Political Action,Democratic,DEM_ALIGNED_PAC,Progressive/Democratic-aligned PAC; anti-Trump/pro-Democratic in 2020,Moveon.org Political Action
394000.0,13,30308.0,13,Large ($100k-$1M),DITCH FUND,Anti-Republican,DEM_ALIGNED_PAC,Anti-Mitch McConnell / anti-Republican Senate-focused PAC,DITCH FUND
